('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         775267 function calls (750995 primitive calls) in 7.058 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4305    0.001    0.000    0.002    0.000 _parser.py:293(tell)
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     6727    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    219/4    0.001    0.000    0.297    0.074 <frozen importlib._bootstrap>:1349(_find_and_load)
      166    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      216    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      901    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
     3566    0.001    0.000    0.005    0.000 filter.py:721(match)
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      312    0.001    0.000    1.276    0.004 socket.py:693(readinto)
     4251    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      260    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
     1832    0.001    0.000    0.003    0.000 filter.py:538(matches_tag)
        3    0.001    0.000    0.001    0.000 socket.py:221(__init__)
       11    0.001    0.000    0.409    0.037 {method 'join' of 'bytes' objects}
      310    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
    56/16    0.001    0.000    0.020    0.001 css_parser.py:925(parse_selectors)
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      332    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     2822    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      190    0.001    0.000    0.010    0.000 _compiler.py:511(_compile_info)
    168/1    0.001    0.000    7.058    7.058 {built-in method builtins.exec}
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       51    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     8972    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      942    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      190    0.001    0.000    0.139    0.001 _compiler.py:740(compile)
     3917    0.001    0.000    0.006    0.000 {built-in method builtins.next}
    218/4    0.001    0.000    0.297    0.074 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      380    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
     2836    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      133    0.001    0.000    0.001    0.000 {method 'rindex' of 'str' objects}
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1440    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     3821    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       79    0.001    0.000    0.007    0.000 css_parser.py:472(parse_attribute_selector)
      198    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      853    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
     4136    0.001    0.000    0.001    0.000 element.py:2771(descendants)
     2947    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      458    0.001    0.000    0.002    0.000 filter.py:616(_attribute_match)
    193/4    0.001    0.000    0.296    0.074 <frozen importlib._bootstrap>:911(_load_unlocked)
     2836    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
       21    0.001    0.000    0.685    0.033 __init__.py:1(<module>)
      193    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     2763    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       10    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
     3288    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      190    0.001    0.000    0.086    0.000 _parser.py:969(parse)
     2724    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2835    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      134    0.001    0.000    0.003    0.000 typing.py:1242(__init__)
      312    0.001    0.000    1.273    0.004 ssl.py:1095(read)
     1005    0.000    0.000    0.002    0.000 _compiler.py:398(_simple)
      166    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     2663    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     4667    0.000    0.000    0.000    0.000 element.py:2227(__bool__)
    444/8    0.000    0.000    0.295    0.037 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      166    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     2339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       15    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      412    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
       41    0.000    0.000    0.408    0.010 response.py:1173(read_chunked)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1243    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       87    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      260    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      928    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
     1657    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1441    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
  758/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
    166/4    0.000    0.000    0.296    0.074 <frozen importlib._bootstrap_external>:989(exec_module)
      499    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      803    0.000    0.000    0.001    0.000 filter.py:627(_match_attribute_value_helper)
       62    0.000    0.000    0.003    0.000 typing.py:687(Union)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      312    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      190    0.000    0.000    0.052    0.000 _compiler.py:573(_code)
      312    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2591    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    6.762    6.762 financial.py:36(main)
      358    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  193/189    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1401    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      861    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  212/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
     1859    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
     1221    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       27    0.000    0.000    0.002    0.000 enum.py:254(__set_name__)
      499    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      738    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      128    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
     1089    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      492    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      175    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       61    0.000    0.000    0.397    0.007 client.py:633(_safe_read)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       50    0.000    0.000    0.880    0.018 {method 'readline' of '_io.BufferedReader' objects}
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       40    0.000    0.000    0.398    0.010 response.py:1151(_handle_chunk)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
      406    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      218    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3474(_collect_parameters)
       54    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
       23    0.000    0.000    0.003    0.000 enum.py:528(__new__)
