('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         775267 function calls (750995 primitive calls) in 7.058 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      405    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
  133/115    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
        1    0.000    0.000    0.882    0.882 client.py:324(begin)
        1    0.000    0.000    0.015    0.015 url.py:1(<module>)
        1    0.000    0.000    1.132    1.132 connectionpool.py:592(urlopen)
      127    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
        1    0.000    0.000    1.542    1.542 sessions.py:673(send)
       38    0.000    0.000    0.000    0.000 element.py:524(get_text)
        1    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        3    0.000    0.000    0.017    0.006 response.py:1(<module>)
       60    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    0.025    0.025 adapters.py:1(<module>)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.001    0.001 client.py:231(_parse_header_lines)
        1    0.000    0.000    0.208    0.208 __init__.py:209(__init__)
        3    0.000    0.000    0.047    0.016 exceptions.py:1(<module>)
        1    0.000    0.000    0.152    0.152 connection.py:192(_new_conn)
        2    0.000    0.000    0.002    0.001 models.py:1(<module>)
        1    0.000    0.000    0.022    0.022 client.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      166    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
       72    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      192    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       25    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fcf405d7b00}
        5    0.000    0.000    0.000    0.000 connection.py:355(putheader)
        1    0.000    0.000    0.024    0.024 connectionpool.py:1(<module>)
        1    0.000    0.000    0.152    0.152 connection.py:27(create_connection)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
       41    0.000    0.000    0.408    0.010 response.py:1044(stream)
        1    0.000    0.000    0.019    0.019 ssl_.py:1(<module>)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    0.000    0.000 __init__.py:255(escape)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
       47    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 css_parser.py:681(parse_pseudo_nth)
        1    0.000    0.000    0.798    0.798 client.py:291(_read_status)
        1    0.000    0.000    0.008    0.008 cookiejar.py:1(<module>)
        8    0.000    0.000    0.001    0.000 _htmlparser.py:226(handle_charref)
        1    0.000    0.000    1.133    1.133 adapters.py:613(send)
       62    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       14    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        1    0.000    0.000    1.544    1.544 sessions.py:500(request)
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        1    0.000    0.000    0.000    0.000 response.py:577(__init__)
       83    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 ssltransport.py:22(SSLTransport)
        1    0.000    0.000    0.025    0.025 sessions.py:1(<module>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      140    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
       16    0.000    0.000    0.020    0.001 css_parser.py:1149(process_selectors)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        3    0.000    0.000    0.000    0.000 filter.py:378(__init__)
      131    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
        7    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       14    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
      160    0.000    0.000    0.000    0.000 enum.py:1292(value)
       12    0.000    0.000    0.000    0.000 queue.py:154(get)
       63    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       19    0.000    0.000    0.000    0.000 typing.py:2476(overload)
       31    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
      181    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.003    0.002 abc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ssl_.py:225(create_urllib3_context)
       11    0.000    0.000    0.000    0.000 queue.py:122(put)
       16    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
        4    0.000    0.000    0.000    0.000 feedparser.py:100(push)
        2    0.000    0.000    0.000    0.000 sessions.py:799(mount)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      106    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
        7    0.000    0.000    0.000    0.000 typing.py:1533(__getitem_inner__)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        8    0.000    0.000    0.000    0.000 message.py:494(get)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adapters.py:359(build_response)
       31    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
        2    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.008    0.008 financial.py:19(get_row)
        1    0.000    0.000    0.012    0.012 feedparser.py:1(<module>)
        2    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
      112    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 parse.py:688(unquote)
        1    0.000    0.000    0.001    0.001 parser.py:41(parse)
        7    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
       73    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        2    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        3    0.000    0.000    0.008    0.003 filter.py:163(find_all)
        1    0.000    0.000    0.038    0.038 css_parser.py:428(CSSParser)
        2    0.000    0.000    0.000    0.000 ssl.py:670(verify_mode)
       67    0.000    0.000    0.000    0.000 typing_extensions.py:3411(_is_unpacked_typevartuple)
        2    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
        1    0.000    0.000    0.016    0.016 compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       29    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        2    0.000    0.000    0.030    0.015 api.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1047(_generic_class_getitem)
        1    0.000    0.000    0.882    0.882 client.py:1384(getresponse)
       44    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
       25    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.000    0.000 ssl.py:542(minimum_version)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        2    0.000    0.000    0.001    0.001 core.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
        1    0.000    0.000    0.000    0.000 inspect.py:2366(_signature_from_function)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
        1    0.000    0.000    0.000    0.000 connection.py:320(close)
       25    0.000    0.000    0.000    0.000 _collections.py:300(add)
      294    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
        1    0.000    0.000    0.000    0.000 timeout.py:25(Timeout)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       16    0.000    0.000    0.036    0.002 css_parser.py:306(__init__)
        1    0.000    0.000    0.096    0.096 ssl.py:1313(do_handshake)
        1    0.000    0.000    0.000    0.000 client.py:261(__init__)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dammit.py:98(EntitySubstitution)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       42    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
        1    0.000    0.000    0.000    0.000 element.py:1577(Tag)
        2    0.000    0.000    0.001    0.001 _collections.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
        5    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
        9    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.000    0.000 mimetypes.py:402(_default_mime_types)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        4    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
        1    0.000    0.000    0.004    0.004 cd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        3    0.000    0.000    0.008    0.003 element.py:1079(_find_all)
        1    0.000    0.000    0.001    0.001 sessions.py:457(prepare_request)
        1    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
       62    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       29    0.000    0.000    0.000    0.000 element.py:2181(get_attribute_list)
        1    0.000    0.000    0.005    0.005 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 cookies.py:236(Morsel)
        1    0.000    0.000    0.000    0.000 models.py:658(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:100(__setitem__)
        3    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
        1    0.000    0.000    0.000    0.000 connection.py:335(putrequest)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       18    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       14    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        6    0.000    0.000    0.000    0.000 typing.py:1548(__getitem__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       31    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        1    0.000    0.000    0.000    0.000 _html5lib.py:1(<module>)
       86    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
      119    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
        3    0.000    0.000    0.000    0.000 retry.py:202(__init__)
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
        1    0.000    0.000    0.022    0.022 _request_methods.py:1(<module>)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:454(__setattr__)
        1    0.000    0.000    7.058    7.058 financial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:666(reset)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        3    0.000    0.000    0.000    0.000 idna.py:155(encode)
        5    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 response.py:143(flush)
        1    0.000    0.000    0.000    0.000 mimetypes.py:64(MimeTypes)
        1    0.000    0.000    0.096    0.096 ssl.py:449(wrap_socket)
        2    0.000    0.000    0.016    0.008 parser.py:1(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
      9/7    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.000    0.000 response.py:316(__init__)
        7    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
        1    0.000    0.000    0.000    0.000 _adapters.py:163(wrap_spec)
        1    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
       14    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        1    0.000    0.000    0.077    0.077 socket.py:946(getaddrinfo)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:2145(FancyURLopener)
        1    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
        4    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1170(_close_pool_connections)
        1    0.000    0.000    0.084    0.084 client.py:245(parse_headers)
        3    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1280(IPv4Address)
        1    0.000    0.000    0.000    0.000 dammit.py:485(EncodingDetector)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
    66/35    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:826(Path)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
        5    0.000    0.000    0.000    0.000 connection.py:404(<genexpr>)
        7    0.000    0.000    0.000    0.000 functools.py:660(_c3_merge)
        5    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        6    0.000    0.000    0.000    0.000 structures.py:40(__init__)
        7    0.000    0.000    0.000    0.000 typing.py:1822(__new__)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        8    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       12    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       88    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
       16    0.000    0.000    0.000    0.000 css_parser.py:459(__init__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    1.544    1.544 api.py:14(request)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
        1    0.000    0.000    0.000    0.000 response.py:118(__init__)
       26    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
       34    0.000    0.000    0.000    0.000 typing_extensions.py:3351(_check_generic)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        9    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        4    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1044(_new_conn)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
      141    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.024    0.024 _base_connection.py:1(<module>)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2314(_IPv6Constants)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        1    0.000    0.000    0.000    0.000 client.py:1082(_send_output)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
       32    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        2    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        2    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
       44    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    1.544    1.544 api.py:62(get)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        9    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
        1    0.000    0.000    0.000    0.000 pathlib.py:291(PurePath)
        1    0.000    0.000    0.000    0.000 socket.py:681(__init__)
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       31    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       10    0.000    0.000    0.000    0.000 threading.py:124(RLock)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       25    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        2    0.000    0.000    0.001    0.000 _adapters.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ssl.py:678(verify_mode)
        3    0.000    0.000    0.008    0.003 element.py:2723(find_all)
        6    0.000    0.000    0.000    0.000 filter.py:224(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:120(HTTPConnectionPool)
        3    0.000    0.000    0.000    0.000 poolmanager.py:199(__init__)
       86    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
       15    0.000    0.000    0.000    0.000 filter.py:490(_make_match_rules)
        2    0.000    0.000    0.000    0.000 client.py:430(close)
        1    0.000    0.000    0.000    0.000 models.py:409(prepare_url)
        1    0.000    0.000    0.002    0.002 filepost.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 inspect.py:2470(_signature_from_callable)
        1    0.000    0.000    0.000    0.000 sessions.py:390(__init__)
        3    0.000    0.000    0.409    0.136 models.py:890(content)
       45    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:1519(__getitem__)
        7    0.000    0.000    0.000    0.000 typing.py:1515(copy_with)
        1    0.000    0.000    0.000    0.000 client.py:865(__init__)
        3    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 utils.py:204(get_netrc_auth)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:82(HTTPConnection)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        1    0.000    0.000    0.000    0.000 request.py:191(body_to_chunks)
        1    0.000    0.000    0.249    0.249 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
        7    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        7    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
        5    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
        6    0.000    0.000    0.000    0.000 parse.py:841(__getattr__)
        6    0.000    0.000    0.000    0.000 typing.py:1166(__mro_entries__)
        1    0.000    0.000    0.001    0.001 models.py:351(prepare)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
       25    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        3    0.000    0.000    0.000    0.000 typing.py:381(decorator)
        2    0.000    0.000    0.000    0.000 _collections.py:141(clear)
       20    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
        1    0.000    0.000    0.000    0.000 client.py:1027(send)
        2    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
        4    0.000    0.000    0.000    0.000 message.py:529(get_all)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
        1    0.000    0.000    0.000    0.000 ssl.py:422(SSLContext)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       28    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       10    0.000    0.000    0.000    0.000 connection.py:357(<genexpr>)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:365(Distribution)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1356(add_cookie_header)
        1    0.000    0.000    0.000    0.000 formatter.py:10(Formatter)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _deprecation.py:1(<module>)
        6    0.000    0.000    0.000    0.000 client.py:1064(_output)
       10    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        9    0.000    0.000    0.000    0.000 parse.py:164(hostname)
        1    0.000    0.000    0.096    0.096 ssl_.py:410(ssl_wrap_socket)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1246(CookieJar)
        2    0.000    0.000    0.001    0.000 readers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
        7    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
       25    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
        4    0.000    0.000    0.001    0.000 feedparser.py:171(feed)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        1    0.000    0.000    0.000    0.000 utils.py:765(should_bypass_proxies)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        1    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _policybase.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        1    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
        2    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:585(__call__)
        1    0.000    0.000    0.000    0.000 cp1252.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
       37    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 feedparser.py:121(pushlines)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        1    0.000    0.000    0.076    0.076 css.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
        8    0.000    0.000    0.000    0.000 formatter.py:79(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fcf40683a60}
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
        1    0.000    0.000    0.207    0.207 _htmlparser.py:449(feed)
       49    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.001    0.001 connection.py:114(_has_ipv6)
       22    0.000    0.000    0.000    0.000 threading.py:394(notify)
        1    0.000    0.000    0.000    0.000 readers.py:32(ZipReader)
        7    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        1    0.000    0.000    0.000    0.000 tempfile.py:824(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 connection.py:93(_set_socket_options)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        2    0.000    0.000    0.000    0.000 <frozen codecs>:94(__new__)
        2    0.000    0.000    0.000    0.000 {method 'isalpha' of 'str' objects}
